iter	RMSE
0	20.74696481
1	19.13958696
2	17.66350476
3	16.41708521
4	15.20106809
5	14.13489153
6	13.18060012
7	12.36511682
8	11.59795756
9	10.92303819
10	10.27996045
11	9.761525113
12	9.230895727
13	8.854247595
14	8.413911147
15	8.038251838
16	7.753535632
17	7.539064792
18	7.217056595
19	6.917242203
20	6.629823246
21	6.436208315
22	6.274068226
23	6.139509389
24	6.007450216
25	5.888347613
26	5.788995902
27	5.692364724
28	5.619768554
29	5.516399629
30	5.454079178
31	5.38325873
32	5.307264319
33	5.18815353
34	5.1430096
35	5.106867911
36	5.068446038
37	5.034706856
38	4.969534636
39	4.944548966
40	4.904767018
41	4.861304713
42	4.771376279
43	4.745165797
44	4.72321333
45	4.680223405
46	4.636606264
47	4.60420838
48	4.566693666
49	4.522449515
50	4.496315724
51	4.458520832
52	4.420440714
53	4.389210368
54	4.368700676
55	4.349633425
56	4.337664441
57	4.292799303
58	4.25961358
59	4.238002068
60	4.223212467
61	4.181229733
62	4.134478235
63	4.124179904
64	4.108536225
65	4.090044214
66	4.066662633
67	4.052335543
68	4.018165294
69	3.995453109
70	3.978163244
71	3.936024743
72	3.917005111
73	3.901435936
74	3.874997879
75	3.839226237
76	3.824043298
77	3.811584663
78	3.798247899
79	3.749331719
80	3.73843394
81	3.72508184
82	3.717395904
83	3.693156082
84	3.646174022
85	3.635920763
86	3.62119375
87	3.599433168
88	3.564963952
89	3.543097914
90	3.533455849
91	3.524674965
92	3.485188223
93	3.475529553
94	3.448212514
95	3.440286981
96	3.432025536
97	3.425448113
98	3.397282554
99	3.361188411
100	3.353224696
101	3.33510692
102	3.32940898
103	3.313001904
104	3.297320705
105	3.275543012
106	3.260395805
107	3.24112306
108	3.2354447
109	3.221597812
110	3.212719461
111	3.198230868
112	3.192793634
113	3.181542257
114	3.151470274
115	3.138272831
116	3.134264801
117	3.130513636
118	3.119428197
119	3.115676075
120	3.090734933
121	3.063741867
122	3.059201683
123	3.040752442
124	3.028702575
125	2.994787484
126	2.991073907
127	2.986484602
128	2.976749569
129	2.954848062
130	2.951056295
131	2.941068551
132	2.912333354
133	2.903458741
134	2.899825032
135	2.874407333
136	2.853118282
137	2.839148603
138	2.835565787
139	2.832032548
140	2.819102013
141	2.808273987
142	2.796082793
143	2.779097033
144	2.764097047
145	2.752858959
146	2.746092399
147	2.735816635
148	2.730255871
149	2.724880794
150	2.707043808
151	2.698267621
152	2.695786011
153	2.686273009
154	2.684269671
155	2.681274357
156	2.663164712
157	2.651976355
158	2.635525661
159	2.628303018
160	2.621877165
161	2.619772183
162	2.618751934
163	2.612756178
164	2.589665554
165	2.577592457
166	2.576041371
167	2.573297593
168	2.568519237
169	2.55374219
170	2.551513848
171	2.550668096
172	2.549711612
173	2.541271463
174	2.519057045
175	2.5035809
176	2.502319154
177	2.500274037
178	2.486869003
179	2.47890943
180	2.459149943
181	2.45564384
182	2.441978443
183	2.429392516
184	2.428745563
185	2.419202199
186	2.406998037
187	2.402968789
188	2.400017191
189	2.386446118
190	2.37910134
191	2.378560785
192	2.368144742
193	2.366412106
194	2.362095617
195	2.360342247
196	2.350450263
197	2.340188825
198	2.334476476
199	2.332899649
200	2.327795035
201	2.321577465
202	2.321066895
203	2.312041869
204	2.306424128
205	2.285226029
206	2.284760569
207	2.282101136
208	2.275839609
209	2.275411214
210	2.271965885
211	2.262499054
212	2.261153792
213	2.256654699
214	2.25280311
215	2.24915353
216	2.241736084
217	2.236482559
218	2.217247577
219	2.209919048
220	2.201277788
221	2.193054178
222	2.190313467
223	2.173122028
224	2.157934946
225	2.150399443
226	2.147324333
227	2.144116346
228	2.140182817
229	2.139313418
230	2.137371744
231	2.131219254
232	2.130426044
233	2.123917582
234	2.118515129
235	2.111965675
236	2.105788794
237	2.098819971
238	2.093094429
239	2.089982589
240	2.088737977
241	2.082524403
242	2.080770915
243	2.080486739
244	2.08022959
245	2.079116593
246	2.076799956
247	2.072088575
248	2.069462829
249	2.055636315
250	2.04307952
251	2.040373976
252	2.031964422
253	2.030527483
254	2.030299599
255	2.027423507
256	2.024122186
257	2.016207402
258	2.012896737
259	2.006956791
260	2.00463323
261	1.991688445
262	1.990447712
263	1.985593078
264	1.975684497
265	1.965703669
266	1.95823818
267	1.952986253
268	1.949934482
269	1.94785754
270	1.944078631
271	1.935146439
272	1.926924707
273	1.926125293
274	1.919799191
275	1.914554419
276	1.910163458
277	1.908854642
278	1.904353963
279	1.896891678
280	1.893248455
281	1.891221488
282	1.890314635
