iter	Passed	Remaining
0	0	348
1	0	325
2	0	315
3	1	307
4	1	304
5	1	299
6	2	298
7	2	302
8	2	300
9	2	295
10	3	291
11	3	286
12	3	283
13	3	280
14	4	277
15	4	277
16	4	275
17	5	273
18	5	276
19	5	275
20	5	275
21	6	274
22	6	273
23	6	273
24	6	272
25	7	271
26	7	270
27	7	269
28	7	267
29	8	267
30	8	266
31	8	265
32	9	265
33	9	264
34	9	263
35	9	262
36	10	261
37	10	260
38	10	259
39	10	258
40	11	258
41	11	257
42	11	256
43	11	255
44	12	255
45	12	254
46	12	253
47	12	253
48	13	252
49	13	251
50	13	250
51	13	250
52	13	249
53	14	249
54	14	248
55	14	248
56	14	247
57	15	247
58	15	246
59	15	246
60	15	245
61	16	245
62	16	244
63	16	243
64	16	243
65	17	243
66	17	242
67	17	242
68	17	241
69	18	241
70	18	241
71	18	240
72	18	240
73	19	239
74	19	239
75	19	239
76	19	238
77	20	238
78	20	237
79	20	237
80	20	237
81	21	236
82	21	236
83	21	235
84	21	235
85	22	235
86	22	234
87	22	234
88	22	234
89	23	233
90	23	233
91	23	232
92	23	232
93	24	232
94	24	231
95	24	231
96	24	231
97	25	230
98	25	230
99	25	230
100	25	229
101	26	229
102	26	229
103	26	228
104	26	228
105	27	228
106	27	227
107	27	227
108	27	227
109	28	226
110	28	226
111	28	226
112	28	226
113	29	226
114	29	225
115	29	225
116	29	225
117	30	225
118	30	224
119	30	224
120	30	224
121	31	223
122	31	224
123	31	223
124	31	223
125	32	223
126	32	224
127	32	223
128	33	223
129	33	223
130	33	223
131	33	223
132	34	223
133	34	222
134	34	222
135	35	222
136	35	222
137	35	222
138	35	222
139	36	222
140	36	222
141	36	222
142	37	222
143	37	222
144	37	222
145	38	222
146	38	222
147	38	222
148	38	222
149	39	222
150	39	221
151	39	221
152	40	221
153	40	221
154	40	220
155	40	220
156	41	220
157	41	219
158	41	219
159	41	219
160	41	218
161	42	218
162	42	218
163	42	217
164	42	217
165	43	217
166	43	217
167	44	218
168	44	219
169	44	219
170	45	219
171	45	218
172	45	218
173	45	218
174	46	217
175	46	217
176	46	217
177	47	217
178	47	217
179	47	217
180	47	216
181	48	216
182	48	216
183	48	215
